Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category,Difficulty
LS367,Introduction to Multiple Choice question Listening Part 3,Link,Link,1,Listening,2.002
LS368,"Introduction to Matching,
Plan/Map/Diagram Labelling question Listening Part 3",Link,Link,1,Listening,2.003
LS369,Introduction to Short Answer questions Listening Part 3,Link,Link,1,Listening,2.004
LS370,Tips and Experiences to do Listening Test Part 3,Link,Link,1,Listening,2.005
LS371,Review Listening Part 3 exercises,Link,Link,6,Listening,2.006
LS372,Overview about Part 4 Listening test,Link,Link,1,Listening,2.007
LS373,Introduction to Multiple Choice question Listening Part 4,Link,Link,1,Listening,2.008
LS374,"Introduction to Matching,
Plan/Map/Diagram Labelling question Listening Part 4",Link,Link,1,Listening,2.009
LS375,Introduction to Form/Note/Table/Flow Chart/Summary Completion question Listening Part 4,Link,Link,1,Listening,2.01
LS378,"Review Listening Part 4 exercises (with types of question : Multiple Choice, Matching,Plan/Map/Diagram Labelling , Form/Note/Table/Flow Chart/Summary Completion)",Link,Link,6,Listening,2.011
LS383,Introduction to Sentence Completion question Listening Part 4,Link,Link,1,Listening,3
LS384,Introduction to Short Answer questions Listening Part 4,Link,Link,1,Listening,3.001
LS376,Tips and Experiences to do Listening Test Part 4,Link,Link,1,Listening,3.002
LS385,Review Listening Part 4 exercises,Link,Link,6,Listening,3.003
LS503,Introduction to TOEFL Listening Test,Link,Link,1,Listening,1
LS504,Method to resolve Detail questions in Listening Test,Link,Link,1,Listening,1.001
LS505,Method to resolve Attitude questions in Listening Test,Link,Link,1,Listening,1.002
LS506,Method to resolve Gist-Content and Gist-Purpose questions in Listening Test,Link,Link,1,Listening,1.003
LS507,Method to resolve Function questions in Listening Test,Link,Link,1,Listening,1.004
LS508,How to Take Notes in the TOEFL Listening Test,Link,Link,1,Listening,1.005
LS509,"Review Listening Skill exercises (with formats : Detail questions, Attitude questions,Gist-Content and Gist-Purpose questions,Function questions )",Link,Link,6,Listening,1.006
LS511,Method to resolve Organization questions in Listening Test,Link,Link,1,Listening,2
LS512,Method to resolve Connecting Content questions in Listening Test,Link,Link,1,Listening,2.001
LS513,"Method to resolve 
Inference questions in Listening Test",Link,Link,1,Listening,2.002
LS514,Tips and Experiences to do Listening Test ,Link,Link,1,Listening,2.003
LS515,Review Listening Skills exercises,Link,Link,6,Listening,2.004
