Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category,Difficulty
LS30,"Usage Much, many, Little, few, a Lot, plenty",Link,Link,1,Grammar,1.29
LS31,"Usage of All/all of , most/most of , no/none of ",Link,Link,1,Grammar,1.3
LS32,"Usage of Both/both of ,  neither/neither of , either/either of ",Link,Link,1,Grammar,1.31
LS33,"Usage of All, every and whole ",Link,Link,1,Grammar,1.32
LS34,Usage Each and every ,Link,Link,1,Grammar,1.33
LS35,Prepositions for times,Link,Link,1,Grammar,1.34
LS36,Prepositions for position,Link,Link,1,Grammar,1.35
LS37,Other prepositions and their usecase : To/at/in/into /on/by,Link,Link,1,Grammar,1.36
LS38,Noun+ preposition,Link,Link,1,Grammar,2
LS39,Verb+ preposition,Link,Link,1,Grammar,2.01
LS40,Parts of speech : Verb+ -ing (enjoy doing/stop doing etc.),Link,Link,1,Grammar,2.02
LS41,Parts of speech : Verb+ to ... (decide to ... / forget to ... etc.),Link,Link,1,Grammar,2.03
LS42,Parts of speech : Verb(+ object)+ to ... (I want you to ... etc.),Link,Link,1,Grammar,2.04
LS43,Parts of speech : Verb+ -ing or to ... 1 (remember/regret etc.) ,Link,Link,1,Grammar,2.05
LS44,Parts of speech : Verb+ -ing or to ... 2 (try/need/help) ,Link,Link,1,Grammar,2.06
LS45,Parts of speech : Verb+ -ing or to ... 3 (Like I would Like etc.),Link,Link,1,Grammar,2.07
LS46,Parts of speech : Prefer and would rather ,Link,Link,1,Grammar,2.08
LS47,Parts of speech : Verb+Preposition (in/for/about etc.)+ -ing ,Link,Link,1,Grammar,2.09
LS48,Parts of speech : Verb with Be/get used to something (I'm used to ... ),Link,Link,1,Grammar,2.1
LS49,Parts of speech : Verb with Expressions+ -ing,Link,Link,1,Grammar,2.11
LS50,"Parts of speech : Verb with  To ... , for ... and so that ...  Structure",Link,Link,1,Grammar,2.12
LS51,Parts of speech : Verb with Adjective+ to ... ,Link,Link,1,Grammar,2.13
LS52,Parts of speech : Verb with To ... (afraid to do) and preposition+ -ing (afraid of -ing) structure,Link,Link,1,Grammar,2.14
LS53,Parts of speech : Verb with See somebody do and see somebody doing  structure,Link,Link,1,Grammar,2.15
LS54,Parts of speech : Verb ing clauses ,Link,Link,1,Grammar,2.16
LS55,Parts of speech : Adjectives,Link,Link,2,Grammar,2.17
LS56,Parts of speech : Adverbs,Link,Link,2,Grammar,2.18
LS57,Structure of So and such,Link,Link,1,Grammar,2.19
LS58,Structure of Enough and too ,Link,Link,1,Grammar,2.2
LS59,"Structure of Quite, pretty, rather and fairly",Link,Link,1,Grammar,2.21
LS60,Structure of Comparison,Link,Link,1,Grammar,2.22
LS61,Structure of Superlatives,Link,Link,1,Grammar,2.23
LS62,"Phrases showing reasons: Because of, Due to and Owing to",Link,Link,1,Grammar,2.24
LS63,Phrases showing concessions : Although/though/even though/In spite of/despite ,Link,Link,1,Grammar,2.25
LS64,"Structure of Unless ,  As Long as ,  Provided/ providing",Link,Link,1,Grammar,2.26
LS65,"Structure of ""AS""  sentences",Link,Link,1,Grammar,2.27
LS66,Structure of Like/as if /as though ,Link,Link,1,Grammar,2.28
LS67,"Usage of For, during and while ",Link,Link,1,Grammar,2.29
LS68,"Usage of By and until ,By the time ... ",Link,Link,1,Grammar,2.3
LS69,Reported Speech,Link,Link,1,Grammar,3
LS70,Passive voice with Kinds of Present tense,Link,Link,1,Grammar,3.01
LS71,Passive voice with Kinds of Past tense,Link,Link,1,Grammar,3.02
LS72,Passive voice with Kinds of Future tense,Link,Link,1,Grammar,3.03
LS73,Passive voice with Modal verbs,Link,Link,1,Grammar,3.04
LS74,Passive voice with structure of  lt is said that ... He is said to ... He is supposed to ... ,Link,Link,1,Grammar,3.05
LS75,Passive voice with structure of Have something done,Link,Link,1,Grammar,3.06
LS76,Kinds of opened question,Link,Link,1,Grammar,3.07
LS77,Kinds of closed questions,Link,Link,1,Grammar,3.08
LS78,Auxiliary verbs,Link,Link,1,Grammar,3.09
LS79,Question tags,Link,Link,1,Grammar,3.1
LS80,"Conditional sentences for an obvious thing, a truth, a scientific knowledge (If I do...)",Link,Link,1,Grammar,3.11
LS81,Conditional sentences at present (If I did...),Link,Link,1,Grammar,3.12
LS82,Conditional sentences at past (If I have done...),Link,Link,1,Grammar,3.13
LS83,Wish/If only sentences at present,Link,Link,1,Grammar,3.14
LS84,Wish/If only sentences at future,Link,Link,1,Grammar,3.15
LS85,Wish/If only sentences at past,Link,Link,1,Grammar,3.16
LS86,Some other usage of Wish,Link,Link,1,Grammar,3.17
LS87,Relative clauses 1: clauses with who/that/which,Link,Link,1,Grammar,4
LS88,Relative clauses 2: clauses with and without who/that/which,Link,Link,1,Grammar,4.01
LS89,Relative clauses 3: whose/whom/where,Link,Link,1,Grammar,4.02
LS90,Relative clauses 4: extra information clauses (1),Link,Link,1,Grammar,4.03
LS91,Structure of -ing and -ed clauses,Link,Link,1,Grammar,4.04
LS92,Phrasal Verbs General points ,Link,Link,1,Grammar,4.05
LS93,Phrasal verbs 2 in/out,Link,Link,1,Grammar,4.06
LS94,Phrasal verbs 3 out,Link,Link,1,Grammar,4.07
LS95,Phrasal verbs 4 on/off (1),Link,Link,1,Grammar,4.08
LS96,Phrasal verbs 6 up/down,Link,Link,1,Grammar,4.09
LS97,Phrasal verbs 7 up (1),Link,Link,1,Grammar,4.1
LS98,Phrasal verbs 9 away/back,Link,Link,1,Grammar,4.11
